PartcipantID:5
RandID:5
InitialTimeStamp:20-20-40-289
instanceNumber;capacity;profit;weights;values;id;type;sol
20;331;601;93,43,70,71,66,84,66,59,36,70,24,46,25;87,32,85,76,96,79,72,43,63,69,90,45,48;37-0.44-0.68;high_prop;0
21;307;536;64,62,37,64,70,66,35,48,67,22,77,49,38;83,48,75,91,97,34,16,72,67,15,90,40,61;18-0.44-0.68;high_prop;0
22;329;417;67,81,88,79,29,74,23,68,55,16,43,70,56;16,63,47,86,55,35,37,17,39,30,55,81,53;97-0.44-0.68;high_prop;0
23;342;600;68,86,12,94,50,88,73,46,65,50,29,76,41;97,60,58,67,97,55,81,81,34,41,71,50,91;52-0.44-0.68;high_prop;0
24;337;522;48,82,69,82,51,98,41,75,18,32,54,58,60;57,94,11,88,52,90,49,67,90,56,60,38,17;8-0.44-0.68;high_prop;0
25;359;484;38,95,59,90,77,68,58,42,17,81,65,40,87;50,26,95,19,48,22,56,11,61,79,95,62,88;95-0.44-0.68;low_prop;1
26;354;352;96,35,70,69,74,42,46,22,66,98,59,38,91;37,24,32,33,57,98,90,13,19,29,49,26,11;55-0.44-0.68;low_prop;1
27;338;475;48,23,45,86,69,57,78,58,86,73,56,25,65;59,91,44,17,15,90,33,57,28,43,64,81,77;86-0.44-0.68;low_prop;1
28;309;501;25,19,34,34,86,48,80,17,89,87,66,82,36;30,26,46,97,84,90,38,77,20,70,18,47,94;0-0.44-0.68;low_prop;1
29;282;552;10,41,31,21,83,10,77,84,18,37,86,93,50;44,52,89,66,36,91,53,83,42,44,51,68,94;34-0.44-0.68;low_prop;1
30;253;518;78,24,43,31,98,30,27,21,10,30,34,85,64;25,71,22,25,76,93,39,66,73,80,89,31,73;25-0.44-0.68;low_prop;1
31;284;460;20,74,89,26,42,24,80,58,70,15,84,21,43;78,28,25,56,36,51,82,12,45,83,81,16,84;10-0.44-0.68;low_prop;1
32;274;359;84,11,43,17,52,61,91,58,31,80,28,19,48;91,13,85,51,22,23,16,77,19,50,14,48,19;79-0.44-0.68;low_prop;1
33;142;112;68,73,72,94,17;87,12,18,69,14;45-0.44-0.56;high_prop;0
34;66;205;41,34,50,14,12;43,98,72,90,64;41-0.44-0.56;high_prop;1
35;143;172;52,98,68,71,36;89,74,49,32,64;6-0.44-0.56;high_prop;0
36;170;123;86,62,69,92,78;70,37,20,72,21;95-0.44-0.56;high_prop;0
37;133;113;90,38,74,46,56;22,40,33,54,40;37-0.44-0.6;high_prop;0
38;144;174;34,85,64,91,55;89,31,73,75,43;67-0.44-0.56;high_prop;0
39;89;200;48,35,21,42,57;83,61,80,97,37;33-0.44-0.56;high_prop;0
40;131;207;62,37,64,70,66;48,75,91,97,34;47-0.44-0.6;high_prop;0
41;121;197;21,83,10,77,84;66,36,91,53,83;89-0.44-0.6;low_prop;1
42;121;171;22,27,67,91,69;69,95,36,37,69;58-0.44-0.56;low_prop;1
43;117;87;73,61,18,20,94;20,50,13,24,50;42-0.44-0.56;low_prop;1
44;113;157;52,54,21,76,55;97,56,62,31,35;16-0.44-0.56;low_prop;1
45;122;113;92,50,26,33,77;62,42,71,16,11;5-0.44-0.56;low_prop;1
46;101;117;28,47,64,48,43;45,41,14,72,37;79-0.44-0.56;low_prop;1
47;167;128;95,88,59,93,46;12,85,52,22,58;25-0.44-0.56;low_prop;1
48;124;118;52,78,41,31,82;72,43,23,41,19;30-0.44-0.6;low_prop;1
49;232;181;87,39,91,64,95,97,56;29,29,53,74,38,50,11;78-0.44-0.64;high_prop;0
50;135;262;63,20,26,47,40,87,26;80,40,55,44,80,49,62;84-0.44-0.64;high_prop;0
51;205;291;94,50,88,73,46,65,50;67,97,55,81,81,34,41;97-0.44-0.64;high_prop;0
52;224;267;85,64,91,55,80,86,50;31,73,75,43,76,26,94;48-0.44-0.64;high_prop;0
53;219;288;82,69,82,51,98,41,75;94,11,88,52,90,49,67;15-0.44-0.64;high_prop;0
54;123;184;38,32,34,78,24,43,31;57,45,44,25,71,22,25;46-0.44-0.64;high_prop;1
55;123;293;44,35,79,18,36,31,38;94,77,60,69,37,69,53;92-0.44-0.64;high_prop;0
56;171;187;82,91,78,57,18,52,11;19,95,60,19,13,76,11;22-0.44-0.64;high_prop;0
57;182;332;49,23,83,80,13,92,74;83,90,87,45,86,81,47;50-0.44-0.64;low_prop;1
58;135;222;21,66,65,11,27,30,89;92,33,60,90,30,15,27;53-0.44-0.64;low_prop;1
59;134;262;58,37,12,31,27,50,91;41,86,78,87,17,26,75;62-0.44-0.64;low_prop;1
60;181;291;46,30,10,84,65,85,92;86,61,72,81,40,82,33;2-0.44-0.64;low_prop;1
61;147;168;35,46,37,47,86,61,24;78,46,31,47,19,28,14;5-0.44-0.64;low_prop;1
62;179;216;56,81,51,53,49,87,31;40,10,44,90,86,14,55;27-0.44-0.64;low_prop;1
63;130;221;60,15,15,22,27,67,91;81,14,14,69,95,36,37;41-0.44-0.64;low_prop;1
64;223;165;87,68,73,72,94,17,97;25,87,12,18,69,14,34;32-0.44-0.64;low_prop;1
65;269;268;65,85,92,82,13,58,76,92,50;40,82,33,43,80,13,24,62,42;2-0.44-0.64;high_prop;0
66;222;377;84,66,59,36,70,24,46,25,96;79,72,43,63,69,90,45,48,81;54-0.44-0.64;high_prop;0
67;266;257;14,55,95,97,96,35,70,69,74;41,66,45,68,37,24,32,33,57;79-0.44-0.64;high_prop;0
68;205;380;16,83,84,63,20,26,47,40,87;76,85,85,80,40,55,44,80,49;65-0.44-0.64;high_prop;0
69;220;273;45,67,47,98,92,37,54,26,35;59,63,75,61,43,66,19,26,16;73-0.44-0.64;high_prop;0
70;189;364;25,65,51,94,33,42,37,26,57;66,68,56,60,86,50,33,82,69;95-0.44-0.64;high_prop;0
71;225;373;64,62,37,64,70,66,35,48,67;83,48,75,91,97,34,16,72,67;26-0.44-0.64;high_prop;0
72;206;273;62,74,70,73,31,38,88,24,10;44,60,59,39,53,48,34,12,78;85-0.44-0.64;high_prop;0
73;188;292;11,83,42,28,36,74,41,18,95;56,76,73,16,41,64,36,83,12;13-0.44-0.64;low_prop;1
74;207;264;56,81,51,53,49,87,31,41,23;40,10,44,90,86,14,55,45,30;21-0.44-0.64;low_prop;1
75;210;266;42,46,22,66,98,59,38,91,16;98,90,13,19,29,49,26,11,82;80-0.44-0.64;low_prop;1
76;185;290;50,14,12,73,61,18,20,94,80;72,90,64,20,50,13,24,50,71;23-0.44-0.64;low_prop;1
77;205;348;12,43,51,90,65,12,74,92,28;89,86,34,93,61,83,42,23,34;88-0.44-0.64;low_prop;1
78;142;315;28,14,56,19,65,23,56,15,48;37,96,36,93,16,90,47,50,28;5-0.44-0.64;low_prop;1
79;190;325;25,19,34,34,86,48,80,17,89;30,26,46,97,84,90,38,77,20;0-0.44-0.64;low_prop;1
80;210;222;31,82,91,78,57,18,52,11,59;41,19,95,60,19,13,76,11,14;17-0.44-0.64;low_prop;1
