PartcipantID:kps150
RandID:150
InitialTimeStamp:21-54-36-843
block;trial;answer;correct;timeSpent;itemsSelected;finalvalue;finalweight;ReverseButtons;instanceNumber;pay;xyCoordinates;RandomNumber;SubmittedNumber
3;9;2;0;1;;0;0;1;8;0;(-303.1089,-175)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,175)(0,350);145630;0
3;10;2;0;1;;0;0;0;18;0;(-303.1089,175)(4.286122E-14,-350)(0,350)(303.1089,-175)(303.1089,175)(-303.1089,-175);276315;0
3;11;2;0;1;;0;0;0;11;0;(0,350)(-303.1089,175)(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,-175);934510;0
3;12;2;0;1;;0;0;0;35;0;(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175)(0,350);5;0
4;1;2;0;1;;0;0;0;5;0;(303.1089,-175)(-303.1089,-175)(-303.1089,175)(0,350)(4.286122E-14,-350)(303.1089,175);350628;0
4;2;2;0;1;;0;0;1;4;0;(303.1089,-175)(-303.1089,-175)(303.1089,175)(-303.1089,175)(0,350)(4.286122E-14,-350);8;0
4;3;2;0;1;;0;0;0;33;0;(303.1089,175)(0,350)(-303.1089,175)(303.1089,-175)(4.286122E-14,-350)(-303.1089,-175);324618;0
4;4;2;0;1;;0;0;0;7;0;(303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175)(-303.1089,175)(0,350);926830;0
4;5;2;0;1;;0;0;1;29;0;(303.1089,-175)(0,350)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,175);6;0
4;6;2;0;1;;0;0;0;15;0;(0,350)(4.286122E-14,-350)(303.1089,-175)(303.1089,175)(-303.1089,-175)(-303.1089,175);958672;0
4;7;2;0;1;;0;0;0;25;0;(303.1089,-175)(-303.1089,175)(0,350)(4.286122E-14,-350)(303.1089,175)(-303.1089,-175);9;0
4;8;2;0;1;;0;0;0;18;0;(0,350)(303.1089,175)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(-303.1089,-175);2;0
4;9;2;0;1;;0;0;1;13;0;(0,350)(-303.1089,-175)(303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,175);2;0
4;10;2;0;1;;0;0;0;20;0;(-303.1089,-175)(303.1089,175)(4.286122E-14,-350)(-303.1089,175)(0,350)(303.1089,-175);7;0
4;11;2;0;1;;0;0;0;11;0;(303.1089,-175)(303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(0,350)(-303.1089,175);7;0
4;12;2;0;1;;0;0;1;28;0;(0,350)(303.1089,175)(-303.1089,175)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350);547039;0
5;1;2;0;1;;0;0;1;19;0;(-303.1089,-175)(0,350)(303.1089,-175)(303.1089,175)(4.286122E-14,-350)(-303.1089,175);6;0
5;2;2;0;1;;0;0;0;9;0;(-303.1089,-175)(303.1089,175)(4.286122E-14,-350)(303.1089,-175)(0,350)(-303.1089,175);5;0
5;3;2;0;1;;0;0;0;10;0;(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175)(303.1089,175)(-303.1089,175)(0,350);590421;0
5;4;2;0;1;;0;0;1;12;0;(0,350)(-303.1089,175)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,175);482601;0
5;5;2;0;1;;0;0;1;35;0;(303.1089,175)(-303.1089,-175)(0,350)(-303.1089,175)(303.1089,-175)(4.286122E-14,-350);780235;0
5;6;2;0;1;;0;0;1;22;0;(303.1089,-175)(-303.1089,-175)(303.1089,175)(0,350)(4.286122E-14,-350)(-303.1089,175);861904;0
5;7;2;0;1;;0;0;0;6;0;(303.1089,175)(0,350)(-303.1089,-175)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350);8;0
5;8;2;0;1;;0;0;1;24;0;(-303.1089,175)(-303.1089,-175)(0,350)(303.1089,175)(4.286122E-14,-350)(303.1089,-175);194876;0
5;9;2;0;1;;0;0;0;30;0;(303.1089,175)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175)(0,350)(-303.1089,-175);250789;0
5;10;2;0;1;;0;0;1;27;0;(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,-175)(0,350)(-303.1089,175);841923;0
5;11;2;0;1;;0;0;1;26;0;(0,350)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(303.1089,175);2;0
5;12;2;0;1;;0;0;0;32;0;(303.1089,-175)(0,350)(-303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,175);9;0
6;1;2;0;1;;0;0;0;34;0;(303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(0,350)(303.1089,175)(-303.1089,-175);480597;0
6;2;2;0;1;;0;0;0;36;0;(0,350)(303.1089,175)(303.1089,-175)(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350);629834;6298
6;3;2;0;1;;0;0;1;3;0;(4.286122E-14,-350)(303.1089,175)(303.1089,-175)(-303.1089,175)(0,350)(-303.1089,-175);367509;3
6;4;2;0;1;;0;0;0;1;0;(-303.1089,-175)(303.1089,175)(-303.1089,175)(0,350)(303.1089,-175)(4.286122E-14,-350);709483;709
6;5;2;0;1;;0;0;0;14;0;(-303.1089,-175)(0,350)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,175);968572;0
6;6;2;0;1;;0;0;1;31;0;(303.1089,175)(-303.1089,-175)(0,350)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175);6;6
6;7;1;0;1;;0;0;1;21;0;(0,350)(4.286122E-14,-350)(-303.1089,-175)(-303.1089,175)(303.1089,-175)(303.1089,175);806134;0
6;8;0;1;1;;0;0;1;8;0.5;(0,350)(-303.1089,175)(303.1089,-175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,175);3;3
6;9;1;0;1;;0;0;0;2;0;(-303.1089,-175)(4.286122E-14,-350)(0,350)(303.1089,175)(303.1089,-175)(-303.1089,175);6;6
6;10;2;0;1;;0;0;1;23;0;(-303.1089,175)(0,350)(303.1089,-175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,175);1;0
6;11;1;0;1;;0;0;1;17;0;(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(-303.1089,175)(0,350)(303.1089,-175);1;1
6;12;1;0;1;;0;0;0;16;0;(303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175)(-303.1089,175)(0,350);1;1
