problem,capacity,weights_chr,values_chr,maxValue,ncapacity,corr,dev.w,dev.v,mean.w,mean.v,mean.ef,dev.ef,sum.ef,profit,nprofit,case_id,solution,runtime,solvetime,no_solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,ncapacity_bin,nprofit_bin,region,propagations_cum_dist
21-0.43-0.39,71,"20,44,12,41,11,38","28,31,26,31,19,24",159,0.42771084337349397,0.662262892118,15.05545305418162,4.5934736311423405,27.666666666666668,26.5,1.0133400602415883,0.4833188570580139,1.1690533311828197,62,0.389937106918239,21,1,3.522,0.172,1,55,80,233,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9154276578737011
210-0.45-0.37,72,"22,45,10,19,29,35","19,21,13,14,45,4",116,0.45,0.128416521787,12.404300329590004,13.894843168120563,26.666666666666668,19.333333333333332,2.4702616584195534,3.1218828403050214,61.70077840826644,42,0.3620689655172414,210,1,5.289,0.197,1,55,80,232,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9045563549160671
33-0.44-0.61,75,"21,40,23,45,38,4","15,13,34,25,32,2",121,0.43859649122807015,0.545103110363,15.372052563011877,12.351787994726378,28.5,20.166666666666668,1.690148944193062,0.8240878116690782,6.2534369977324396,73,0.6033057851239669,33,0,4.217,0.243,0,55,80,427,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9512038523274479
110-0.43-0.87,65,"47,22,35,6,29,13","7,7,6,8,3,26",57,0.4276315789473684,-0.450854943404,14.922019523732928,8.264381404557755,25.333333333333332,9.5,4.434523809523809,3.6125862589643516,136.02962018140587,49,0.8596491228070176,110,0,3.634,0.264,0,55,67,213,3,2,0,1,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.99984
59-0.44-0.61,57,"2,29,44,1,28,27","24,16,49,27,32,22",170,0.4351145038167939,0.488876264888,16.940090515303236,11.430952132988164,21.833333333333332,28.333333333333332,0.8221837135527612,0.680545388085091,2.505421916574755,103,0.6058823529411764,59,0,2.107,0.246,0,55,80,377,7,4,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9040128410914928
62-0.41-0.87,41,"27,3,26,27,12,5","14,28,8,12,40,47",149,0.41,-0.846435410055,11.360751148875089,16.104864689486426,16.666666666666668,24.833333333333332,1.3236828774062817,1.3374876840905414,9.57299015622546,129,0.8657718120805369,62,0,5.946,0.183,0,55,0,127,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.97296
189-0.43-0.4,52,"49,24,14,21,10,4","32,46,12,43,3,31",167,0.4262295081967213,0.371861139891,15.807171368295677,17.057745063948712,20.333333333333332,27.833333333333332,1.195065580253759,1.164064146271217,7.003530166769101,66,0.39520958083832336,189,1,4.511,0.302,1,55,80,235,6,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9382893685051958
184-0.42-0.86,65,"18,33,33,7,22,42","1,38,14,42,28,16",139,0.41935483870967744,-0.278543398906,12.608198390994119,15.651411012003571,25.833333333333332,23.166666666666668,4.133824143692565,6.860248027357804,294.24013756587584,119,0.8561151079136691,184,0,7.614,0.232,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
195-0.44-0.87,66,"38,18,22,44,10,18","14,34,24,16,22,13",123,0.44,-0.469799737372,13.130118049735882,7.9435508432942,25,20.5,1.458254164136517,1.0406864680003172,6.675122897085624,107,0.8699186991869918,195,0,4.156,0.135,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
206-0.44-0.88,65,"43,37,16,15,1,37","25,2,7,41,31,11",117,0.436241610738255,-0.469509177945,16.545895765012745,15.228263197095066,24.833333333333332,19.5,4.37791039540056,7.026880279098946,315.34690412007944,102,0.8717948717948718,206,0,4.067,0.231,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
61-0.42-0.37,61,"38,2,45,8,37,16","2,19,37,29,49,26",162,0.4178082191780822,0.207791526625,17.94064287216784,15.987495113369073,24.333333333333332,27,3.661304683212902,7.524417951112071,325.57958321643343,59,0.36419753086419754,61,1,4.687,0.37,1,55,80,236,5,1,0,2,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9448441247002398
184-0.43-0.86,66,"18,33,33,7,22,42","1,38,14,42,28,16",139,0.4258064516129032,-0.278543398906,12.608198390994119,15.651411012003571,25.833333333333332,23.166666666666668,4.133824143692565,6.860248027357804,294.24013756587584,119,0.8561151079136691,184,0,5.267,0.156,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
41-0.41-0.36,86,"48,27,32,39,31,33","38,34,49,38,31,29",219,0.4095238095238095,0.169512267764,7.4565407529228995,7.12039324756716,35,36.5,0.9790972650403174,0.22320487442875464,0.25172362581654906,78,0.3561643835616438,41,1,3.462,0.264,1,55,80,235,5,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9382893685051958
25-0.41-0.62,69,"33,18,35,39,22,22","48,5,45,14,33,21",166,0.40828402366863903,0.416074514061,8.565434412022933,17.247221998532595,28.166666666666668,27.666666666666668,1.5942129629629629,1.2720580874269367,10.209193161060721,102,0.6144578313253012,25,0,3.169,0.244,0,55,80,376,7,4,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9008025682182985
51-0.44-0.63,67,"27,3,37,23,35,28","11,15,35,41,14,29",145,0.43790849673202614,0.241527821415,12.19426094521517,12.52863387072456,25.5,24.166666666666668,1.28969686047062,0.969469301786623,5.202899261332415,91,0.6275862068965518,51,1,4.439,0.191,1,55,80,399,9,3,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.936115569823435
69-0.44-0.62,71,"37,27,22,46,3,27","47,37,34,39,43,29",229,0.4382716049382716,0.0192965618055,14.573949361789344,6.400520812142295,27,38.166666666666664,0.7240519499864331,0.3710265193331554,1.145187348080122,141,0.6157205240174672,69,0,2.818,0.273,0,55,80,382,7,4,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9146067415730337
149-0.44-0.63,68,"27,18,19,20,38,33","1,31,34,37,22,49",174,0.43870967741935485,-0.105304047947,8.280499179799891,16.284962388657824,25.833333333333332,29,5.1801252243784095,10.699312731811297,677.2171460144044,109,0.6264367816091954,149,0,3.885,0.418,0,55,80,390,9,5,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9247191011235955
44-0.43-0.62,92,"26,46,23,36,39,44","19,34,26,13,31,44",167,0.42990654205607476,0.60219459637,9.395034149308168,11.052903087726168,35.666666666666664,27.833333333333332,1.4388788165128923,0.6803972767895722,3.47038996481587,103,0.6167664670658682,44,0,3.402,0.216,0,55,80,442,9,5,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9569823434991974
91-0.43-0.87,76,"41,11,36,12,29,49","48,47,17,26,17,18",173,0.42696629213483145,-0.302375862393,15.513435037626794,14.851487018701752,29.666666666666668,28.833333333333332,1.3492498858972577,0.9878765439108383,5.611353226841597,150,0.8670520231213873,91,0,2.562,0.128,0,55,0,125,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.92336
85-0.41-0.4,68,"33,13,20,31,25,44","3,40,13,44,42,44",186,0.40963855421686746,0.0843640001946,10.838204033264306,18.15488914865635,27.666666666666668,31,2.5272075147075146,4.171391006810653,100.99669141637861,74,0.3978494623655914,85,1,3.331,0.281,1,55,80,310,8,2,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9694644284572342
70-0.41-0.36,78,"34,26,36,22,38,35","12,7,34,42,34,13",142,0.4083769633507853,-0.0759611731845,6.3377177806105145,14.678782874157744,31.833333333333332,23.666666666666668,1.990034475328593,1.2613811643569308,13.836421783007207,51,0.3591549295774648,70,1,5.52,0.539,1,55,80,319,7,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9827338129496402
21-0.43-0.4,71,"20,44,12,41,11,38","28,31,26,31,19,24",159,0.42771084337349397,0.662262892118,15.05545305418162,4.5934736311423405,27.666666666666668,26.5,1.0133400602415883,0.4833188570580139,1.1690533311828197,63,0.39622641509433965,21,1,3.018,0.197,1,55,80,233,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9154276578737011
33-0.42-0.61,71,"21,40,23,45,38,4","15,13,34,25,32,2",121,0.4152046783625731,0.545103110363,15.372052563011877,12.351787994726378,28.5,20.166666666666668,1.690148944193062,0.8240878116690782,6.2534369977324396,73,0.6033057851239669,33,0,4.442,0.179,0,55,80,427,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9512038523274479
56-0.44-0.39,31,"21,5,15,16,5,10","11,29,29,49,18,41",177,0.4305555555555556,-0.0639878883379,6.44980619863884,14.053469322555197,12,29.5,0.5744928184252948,0.6640651178138396,3.2912505729154393,69,0.3898305084745763,56,1,5.018,0.362,1,55,80,236,6,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9448441247002398
69-0.43-0.61,69,"37,27,22,46,3,27","47,37,34,39,43,29",229,0.42592592592592593,0.0192965618055,14.573949361789344,6.400520812142295,27,38.166666666666664,0.7240519499864331,0.3710265193331554,1.145187348080122,139,0.6069868995633187,69,0,3.387,0.336,0,55,80,397,7,4,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9348314606741573
60-0.41-0.4,89,"42,34,49,37,37,20","38,16,38,47,32,31",202,0.4063926940639269,0.343911511488,9.648834126463155,10.366613075960087,36.5,33.666666666666664,1.1847303624968393,0.5198735289135039,1.556094271294181,80,0.39603960396039606,60,1,3.648,0.369,1,55,80,235,5,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9382893685051958
44-0.41-0.37,87,"26,46,23,36,39,44","19,34,26,13,31,44",167,0.40654205607476634,0.60219459637,9.395034149308168,11.052903087726168,35.666666666666664,27.833333333333332,1.4388788165128923,0.6803972767895722,3.47038996481587,61,0.3652694610778443,44,1,5.802,0.25,1,55,80,389,8,3,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.992326139088729
29-0.43-0.89,54,"6,2,38,37,11,32","42,44,22,15,31,44",198,0.42857142857142855,-0.663640218891,16.443843832875572,12.425779653607254,21,33,0.9107270865335382,0.9765943856727257,4.816500889110185,176,0.8888888888888888,29,0,5.595,0.162,0,55,0,124,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.90976
40-0.41-0.61,47,"11,35,27,13,18,12","1,45,16,29,47,23",161,0.4051724137931034,0.475467693702,9.688481133111972,17.55467648994611,19.333333333333332,26.833333333333332,2.469711915614297,4.206556038285057,101.43588720555424,98,0.6086956521739131,40,1,4.211,0.278,1,55,80,381,7,3,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9117174959871589
85-0.42-0.4,69,"33,13,20,31,25,44","3,40,13,44,42,44",186,0.41566265060240964,0.0843640001946,10.838204033264306,18.15488914865635,27.666666666666668,31,2.5272075147075146,4.171391006810653,100.99669141637861,74,0.3978494623655914,85,1,2.957,0.181,1,55,80,310,8,2,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9694644284572342
76-0.42-0.63,62,"2,6,20,40,40,41","5,2,36,23,44,28",138,0.4161073825503356,0.758775033831,18.00462903440853,16.73320053068151,24.833333333333332,23,1.344677102285798,0.9607139555641279,5.327670351119172,86,0.6231884057971014,76,0,7.806,0.248,0,55,80,757,17,9,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9995184590690208
96-0.42-0.38,60,"36,6,9,25,40,28","2,14,21,17,47,44",145,0.4166666666666667,0.326341597859,13.899640283115243,17.72474729486056,24,24.166666666666668,3.635859759764641,7.0475866487836,290.0289278994433,55,0.3793103448275862,96,1,3.915,0.316,1,55,80,284,8,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9569944044764188
87-0.44-0.36,68,"40,17,21,26,24,28","22,13,7,40,24,19",125,0.4358974358974359,0.329110810249,7.874007874011811,11.267948645013727,26,20.833333333333332,1.5415930560667404,0.8186616571991135,5.110972775118262,45,0.36,87,1,3.93,0.309,1,55,80,319,7,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9827338129496402
90-0.44-0.86,69,"20,27,17,21,29,43","24,39,15,36,21,8",143,0.4394904458598726,-0.436145036585,9.38971068066885,11.956866925188498,26.166666666666668,23.833333333333332,1.666376678876679,1.8403936356404136,19.59959093943297,122,0.8531468531468531,90,0,4.962,0.148,0,55,0,125,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.92336
100-0.45-0.86,80,"8,6,43,41,34,46","28,49,19,27,7,21",151,0.449438202247191,-0.666546007856,18.00740588387641,13.891244244727204,29.666666666666668,25.166666666666668,1.872909787696755,1.7243946643325485,19.439513776633575,129,0.8543046357615894,100,0,3.766,0.135,0,55,0,125,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.92336
